cuda build: 1739719199.192453-search-HD_SD-0D/1740046384.86038-5

------------------------- CONFIG -------------------------
	n_neurons: 225
	activation_func_name: ReLU
	dt: 50.0
	tau: 500.0
	W_in_init: normal
	W_rec_init: normal
	hidden_g: 1.1
	learn_x_0: True
	learn_W_in: False
	learn_W_rec: True
	learn_W_out: True
	state_noise_std: 0.1
	rate_noise_std: 0.0
	output_noise_std: 0.0
	weight_loss_type: 1
	weight_lambda: 0.01
	rate_loss_type: 1
	rate_lambda: 0.1
	rank: None
	time: 1740046384.86038
	build_seed: 0
	max_hours: 48
	device: cuda
	optimiser_name: Adam
	num_loader_workers: 4
	training_threshold: 0.0
	training_convergence_std_threshold: 0.01
	training_convergence_std_threshold_window: 5000
	savedir: 1739719199.192453-search-HD_SD-0D
	save_initial_net: False
	save_losses: [0.2, 0.1, 0.05, 0.025, 0.01, 0.005, 0.001, 0.0008, 0.0006, 0.0004, 0.0002, 1e-05]
	save_epochs: 1000
	test_epochs: 100
	HF_damping: 0.5
	HF_delta_decay: 0.95
	HF_cg_max_iter: 100
	n_timesteps: 500
	n_epochs: -1
	max_epochs: 500000
	num_batch_repeats: 1
	batch_size: 500
	minibatch_size: 500
	max_lr: 0.001
	min_lr: 1e-09
	lr_initial_schedule: 1e-09
	lr_anneal_schedule: 1e-09
	test_n_timesteps: 500
	test_batch_size: 1000
	test_fig_width: 20
	test_fig_height: 10
	test_fig_margin: 0.06
	task: HD_SD-0D
	n_inputs: 5
	n_outputs: 4
	init_duration: 10
	av_step_std: 0.03
	av_step_momentum: 0.8
	av_step_zero_prob: 0.5
	name: 5

----------------------------------------------------------

(cuda) Test dataset loss without training: 0.5528

(cuda) Epoch: 41; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4723; Time Elapsed: 2.1s
(cuda) Epoch: 42; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4667; Time Elapsed: 2.2s
(cuda) Epoch: 43; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4712; Time Elapsed: 1.8s
(cuda) Epoch: 44; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4671; Time Elapsed: 1.7s
(cuda) Epoch: 45; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4707; Time Elapsed: 2.1s
(cuda) Epoch: 46; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4638; Time Elapsed: 1.9s
(cuda) Epoch: 47; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4616; Time Elapsed: 2.1s
(cuda) Epoch: 48; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4705; Time Elapsed: 1.4s
(cuda) Epoch: 49; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4742; Time Elapsed: 1.9s
(cuda) Epoch: 50; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4648; Time Elapsed: 2.1s
(cuda) Epoch: 51; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4729; Time Elapsed: 1.9s
(cuda) Epoch: 52; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4726; Time Elapsed: 1.8s
(cuda) Epoch: 53; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4653; Time Elapsed: 2.3s
(cuda) Epoch: 54; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4654; Time Elapsed: 1.8s
(cuda) Epoch: 55; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4659; Time Elapsed: 1.8s
(cuda) Epoch: 56; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4622; Time Elapsed: 1.7s
(cuda) Epoch: 57; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4722; Time Elapsed: 2.3s
(cuda) Epoch: 58; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4596; Time Elapsed: 1.7s
(cuda) Epoch: 59; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4611; Time Elapsed: 2.5s
(cuda) Epoch: 60; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4605; Time Elapsed: 1.7s
(cuda) Epoch: 61; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4630; Time Elapsed: 1.8s
(cuda) Epoch: 62; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4598; Time Elapsed: 1.6s
(cuda) Epoch: 63; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4578; Time Elapsed: 2.2s
(cuda) Epoch: 64; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4593; Time Elapsed: 2.0s
(cuda) Epoch: 65; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4582; Time Elapsed: 2.0s
(cuda) Epoch: 66; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4636; Time Elapsed: 2.0s
(cuda) Epoch: 67; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4580; Time Elapsed: 2.4s
(cuda) Epoch: 68; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4588; Time Elapsed: 2.2s
(cuda) Epoch: 69; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4575; Time Elapsed: 2.3s
(cuda) Epoch: 70; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4578; Time Elapsed: 1.9s
(cuda) Epoch: 71; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4635; Time Elapsed: 2.0s
(cuda) Epoch: 72; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4487; Time Elapsed: 1.9s
(cuda) Epoch: 73; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4573; Time Elapsed: 2.2s
(cuda) Epoch: 74; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4561; Time Elapsed: 1.9s
(cuda) Epoch: 75; Updates: 1 (lr=1.0000E-03); Average Loss: 0.4577; Time Elapsed: 1.8s
